REST_ID,URL,COORD1,COORD2
66,https://www.zomato.com/allahabad/nainital-momos-10-civil-lines/info,25.4510174006,81.8336079642
67,https://www.zomato.com/allahabad/mr-dewsis-civil-lines/info,25.4521281433,81.8222380802
68,https://www.zomato.com/allahabad/bikanerwala-civil-lines/info,25.4514263997,81.8326470628
69,https://www.zomato.com/allahabad/eden-by-connoisseur-civil-lines/info,25.4498185498,81.8337598443
70,https://www.zomato.com/allahabad/aryan-familys-delight-civil-lines/info,25.4547243775,81.8347334862
71,https://www.zomato.com/allahabad/7th-heaven-civil-lines/info,25.4508799572,81.8310454488
72,https://www.zomato.com/allahabad/pind-balluchi-civil-lines/info,25.4523727536,81.8327764794
73,https://www.zomato.com/allahabad/haldiram-bhujiawala-civil-lines/info,25.4556528445,81.8339707330
74,https://www.zomato.com/allahabad/makkhans-civil-lines/info,25.4548042980,81.8332773820
75,https://www.zomato.com/allahabad/cafe-bigboxx-civil-lines/info,25.4519107788,81.8370227516
76,https://www.zomato.com/amravati/jazeerah-restaurant-ambapeth/info,20.9317643807,77.7772945538
77,https://www.zomato.com/amravati/hotel-up-above-maltekedi/info,20.9359677355,77.7715190873
78,https://www.zomato.com/amravati/new-punjabi-dhaba-restaurant-ambapeth/info,20.9191319994,77.7589526027
79,https://www.zomato.com/amravati/new-eagle-restaurant-nai-basti/info,20.9299167837,77.7586190030
80,https://www.zomato.com/amravati/south-kitchen-maltekedi/info,20.9343516045,77.7632025629
81,https://www.zomato.com/amravati/al-basheer-restaurant-nai-basti/info,20.9329440125,77.7505646646
82,https://www.zomato.com/amravati/bombay-street-cafe-ambapeth/info,20.9297220000,77.7607250000
83,https://www.zomato.com/amravati/manvaar-the-indian-restaurant-ambapeth/info,20.9091645127,77.7515403181
84,https://www.zomato.com/amravati/goli-vada-pav-no-1-arjun-nagar/info,20.9435205135,77.7694752440
85,https://www.zomato.com/amravati/cafe-eatalious-sai-nagar/info,20.8981950000,77.7477520000
86,https://www.zomato.com/amravati/mamaji-restaurant-maltekedi/info,20.9299587464,77.7653248608
87,https://www.zomato.com/amravati/foodbux-cafe-maltekedi/info,20.9096665672,77.7617504820
88,https://www.zomato.com/amravati/moti-mahal-delux-dastur-nagar/info,20.9203173678,77.7542003989
89,https://www.zomato.com/amravati/taste-of-south-maltekedi/info,20.9362285820,77.7811083198
90,https://www.zomato.com/amravati/heritage-kitchen-restaurant-celebration-hall-navsaari/info,20.9640532501,77.7480762452
91,https://www.zomato.com/amritsar/la-roma-pizzeria-ranjit-avenue/info,31.6707480852,74.8410161181
92,https://www.zomato.com/amritsar/bade-bhai-ka-brothers-dhaba-1-town-hall/info,31.6257568000,74.8776472000
93,https://www.zomato.com/amritsar/bharawan-da-dhaba-town-hall/info,31.6258241000,74.8778285000
94,https://www.zomato.com/amritsar/r-k-food-plaza-town-hall/info,31.6269407615,74.8761498928
95,https://www.zomato.com/amritsar/makhan-fish-and-chicken-corner-basant-nagar/info,31.6434983317,74.8843269423
96,https://www.zomato.com/amritsar/bon-gateau-ranjit-avenue/info,31.6580424340,74.8638502881
97,https://www.zomato.com/amritsar/kale-da-dhaba-ranjit-avenue/info,31.6439965000,74.8597268000
98,https://www.zomato.com/amritsar/brothers-amritsari-dhaba-town-hall/info,31.6226433157,74.8792907596
99,https://www.zomato.com/amritsar/burger-king-lawrence-road/info,31.6414868830,74.8749080300
100,https://www.zomato.com/amritsar/cafe-connect-ranjit-avenue/info,31.6503081627,74.8628582060
